,Samuel
0,0.11403463
1,0.06773873
2,0.0017648371
3,-0.010772334
4,0.15320626
5,0.2184712
6,0.10172822
7,0.040339317
8,-0.10065277
9,-0.07406272
10,0.002126884
11,0.0009927659
12,0.06804227
13,-0.027977493
14,0.10474793
15,-0.04610897
16,0.04635635
17,-0.056052994
18,-0.08678414
19,0.12564215
20,0.055281214
21,0.0037381959
22,0.028573241
23,0.054008923
24,0.008658766
25,-0.1406699
26,-0.16665837
27,-0.08554299
28,0.06917153
29,-0.00018312149
30,0.03696467
31,-0.017129507
32,-0.09489757
33,0.06829105
34,0.012350763
35,0.055171084
36,0.024487715
37,0.058394212
38,-0.03527402
39,-0.053023063
40,0.10427295
41,0.028381024
42,-0.05252271
43,-0.105178036
44,-0.14451998
45,0.07181035
46,0.044857454
47,0.021542016
48,-0.14314947
49,0.026156735
50,-0.11051015
51,-0.055381835
52,0.0004894796
53,0.007316542
54,0.016449418
55,-0.005160195
56,-0.090313405
57,0.14760208
58,-0.106564656
59,-0.021391926
60,-0.104486905
61,0.13645816
62,0.11501275
63,-0.26006848
64,0.106735006
65,0.11725639
66,0.035184395
67,0.0658415
68,-0.14801522
69,-0.05428063
70,0.07532416
71,0.10507971
72,-0.016535902
73,-0.0133127
74,0.061148115
75,0.110597946
76,0.01575285
77,-0.02611776
78,0.09422443
79,0.019670855
80,-0.047233935
81,0.0069843167
82,-0.017273303
83,-0.036078867
84,0.0076144338
85,0.0558779
86,0.029049706
87,0.040574856
88,-0.051140152
89,0.08719563
90,0.17270498
91,-0.13577196
92,-0.0220116
93,0.10623334
94,-0.051092528
95,-0.08792213
96,0.03192792
97,-0.03063246
98,-0.034596466
99,0.026250428
100,0.0066420576
101,-0.017117962
102,-0.087093376
103,0.03010743
104,-0.18853468
105,0.16690587
106,-0.0034173648
107,0.036425646
108,-0.006052537
109,-0.018623725
110,0.077945754
111,0.07708733
112,0.0039922176
113,0.027632687
114,0.04916185
115,0.028364131
116,-0.22565846
117,0.054035526
118,-0.064589344
119,0.10978846
120,-0.066858076
121,-0.046892043
122,-0.0098139
123,0.11439459
124,0.04910776
125,0.114473246
126,-0.027663607
127,-0.14718805
